name,iata,icao,country
Japan Airlines,JL,JAL,Japan
Japan Airlines Domestic,JL,JAL,Japan
Japan Asia Airways,EG,JAA,Japan
Japan Transocean Air,NU,JTA,Japan
Jat Airways,JU,JAT,Serbia
Jatayu Airlines,VJ,JTY,Indonesia
Jazeera Airways,J9,JZR,Kuwait
Jeju Air,7C,JJA,Republic of Korea
Jenney Beechcraft,,JNY,United States
Jeppesen Data Plan,,XLD,United States
Jeppesen UK,,JPN,United Kingdom
Jet Air,,JEA,Poland
Jet Air Group,,JSI,Russia
Jet Airways,9W,JAI,India
Jet Airways,QJ,,United States
Jet Aspen Air Lines,,JTX,United States
Jet Aviation,,PJS,Switzerland
Jet Aviation Business Jets,,BZF,United States
Jet Center Flight Training,,JCF,Spain
Jet Charter,,JCT,United States
Jetclub,0J,,Switzerland
Jet Connection,,JCX,Germany
Jet Courier Service,,DWW,United States
Jet East International,,JED,United States
Jet Executive International Charter,,JEI,Germany
Jet Fighter Flights,,RZA,Australia
Jet Freighters,,CFT,United States
Jet G&D Aviation,,JGD,Israel
Jet Line International,,MJL,Moldova
Jet Link,,JEK,Israel
Jet Link Aviation,,HTL,United States
Jet Norte,,JNR,Mexico
Jet Rent,,JRN,Mexico
Jet Service,,JDI,Poland
Jetstar Asia Airways,3K,JSA,Singapore
Jet Stream,,JSM,Moldova
Jet Trans Aviation,,JTC,Ghana
Jet-2000,,JTT,Russia
Jet-Ops,,OPS,United Arab Emirates
Jet2.com,LS,EXS,United Kingdom
Jet4You,8J,JFU,Morocco
JetAfrica Swaziland,,OSW,Swaziland
JetBlue Airways,B6,JBU,United States
JetConnect,,QNZ,New Zealand
JetMagic,,JMG,Ireland
Jetairfly,JF,JAF,Belgium
Jetall Holdings,,JTL,Canada
Jetalliance,,JAG,Austria
Jetclub,0J,JCS,Switzerland
Jetcorp,,UEJ,United States
Jetcraft Aviation,,JCC,Australia
Jetex Aviation,,JXA,Lebanon
Jetflite,,JEF,Finland
Jetfly Airlines,,JFL,Austria
Jetgo International,,JIC,Thailand
Jetlink Express,,JLX,Kenya
Jetlink Holland,,JLH,Netherlands
Jetnova de Aviacion Ejecutiva,,JNV,Spain
Jetpro,,JPO,Mexico
Jetran Air,,MDJ,Romania
Jetrider International,,JRI,United Kingdom
Jets Ejecutivos,,JEJ,Mexico
Jets Personales,,JEP,Spain
Jets Y Servicios Ejecutivos,,JSE,Mexico
JetsGo,SG,JGO,Canada
Jetstar Airways,JQ,JST,Australia
Jetstream Air,,JSH,Hungary
Jetstream Executive Travel,,JXT,United Kingdom
Jett Paqueteria,,JPQ,Mexico
Jett8 Airlines Cargo,JX,JEC,Singapore
Jettime,,JTG,Denmark
Jettrain Corporation,,JTN,United States
Jetways of Iowa,,JWY,United States
Jetx Airlines,GX,JXX,Iceland
Jibair,,JIB,Djibouti
Jigsaw Project,,JSW,United Kingdom
Jim Hankins Air Service,,HKN,United States
Jim Ratliff Air Service,,RAS,United States
Joanas Avialinijos,,JDG,Lithuania
Job Air,,JBR,Czech Republic
Johnson Air,,JHN,United States
Johnsons Air,,JON,Ghana
Johnston Airways,,JMJ,United States
Joint Military Commission,,JMM,Sudan
Jomartaxi Aereo,,JMT,Mexico
Jonsson,,ODI,ODINN
Jordan Aviation,R5,JAV,Jordan
Jordan International Air Cargo,,JCI,Jordan
Jorvik,,JVK,Iceland
Ju-Air,,JUR,Switzerland
Juanda Flying School,,JFS,Indonesia
Juba Cargo Services & Aviation Company,,JUC,Sudan
Jubba Airways,,JUB,Somali Republic
Jubilee Airways,,DKE,United Kingdom
Juneyao Airlines,HO,DKH,China
Justair Scandinavia,,MEY,Sweden
Justice Prisoner and Alien Transportation System,,DOJ,United States
K D Air Corporation,,KDC,Canada
K S Avia,,KSA,Latvia
K-Mile Air,,KMI,Thailand
KD Avia,KD,KNI,Russia
KLM Cityhopper,WA,KLC,Netherlands
KLM Helicopter,,KLH,Netherlands
KLM Royal Dutch Airlines,KL,KLM,Netherlands
Kabo Air,N2,QNK,Nigeria
Kahama Mining Corporation,,KMC,Tanzania
Kaiser Air,,KAI,United States
Kalitta Air,K4,CKS,United States
Kalitta Charters,,KFS,United States
Kallat El Saker Air Company,,KES,Libya
Kam Air,RQ,KMF,Afghanistan
Kampuchea Airlines,E2,KMP,Cambodia
Kanaf-Arkia Airlines,,KIZ,Israel
Kanfey Ha'emek Aviation,,KHE,Israel
Kansas State University,,KSU,United States
Karat,V2,AKT,Russia
Karibu Airways Company,,KRB,Tanzania
Karlog Air Charter,,KLG,Denmark
Karthago Airlines,,KAJ,Tunisia
Kartika Airlines,,KAE,Indonesia
Kata Transportation,,KTV,Sudan
Katekavia,,KTK,Russia
Kato Airline,,KAT,Norway
Kavminvodyavia,KV,MVD,Russia
Kavouras Inc,,XKA,United States
Kaz Agros Avia,,KRN,Kazakhstan
Kaz Air West,,KAW,Kazakhstan
Kazan Aviation Production Association,,KAO,Russia
Kazan Helicopters,,KPH,Russia
Kazavia,,KKA,Kazakhstan
Kazaviaspas,,KZS,Kazakhstan
Keenair Charter -,,JFK,United Kingdom
Kelix Air,,KLX,Nigeria
Kelner Airways,,FKL,Canada
Kelowna Flightcraft Air Charter,,KFA,Canada
Kendell Airlines,,KDA,Australia
Kenmore Air,M5,KEN,United States
Kenn Borek Air,,KBA,Canada
Kent Aviation,,KAH,Canada
Kenya Airways,KQ,KQA,Kenya
Kevis,,KVS,Kazakhstan
Key Airlines,,KEY,United States
Key Lime Air,,LYM,United States
Keystone Aerial Surveys,,FTP,United States
Keystone Air Services,BZ,KEE,Canada
Khalifa Airways,,KZW,Algeria
Kharkov Aircraft Manufacturing Company,,WKH,Ukraine
Khazar,,KHR,Turkmenistan
Khoezestan Photros Air Lines,,KHP,Iran
Khoriv-Avia,,KRV,Ukraine
Khors Aircompany,,KHO,Ukraine
Khyber Afghan Airlines,,KHY,Afghanistan
Kiev Aviation Plant,,UAK,Ukraine
King Aviation,,KNG,United Kingdom
Kingfisher Air Services,,BEZ,United States
Kingfisher Airlines,IT,KFR,India
Knighthawk Air Express,,KNX,Canada
Kingston Air Services,,KAS,Canada
Kinnarps,,KIP,Sweden
Kinshasa Airways,,KNS,Democratic Republic of the Congo
Kirov Air Enterprise,,KTA,Russia
Kish Air,Y9,IRK,Iran
Kitty Hawk Aircargo,,KHA,United States
Kitty Hawk Airways,,KHC,United States
Kiwi International Air Lines,KP,KIA,United States
Knight Air,,KNA,Canada
Knighthawk Express,,KHX,United States
Knights Airlines,,KGT,Nigeria
Koanda Avacion,,KOA,Spain
Koda International,,OYE,Nigeria
Kogalymavia Air Company,7K,KGL,Russia
Kom Activity,,KOM,Netherlands
Komiaviatrans State Air Enterprise,,KMA,Russia
Komiinteravia,8J,KMV,Russia
Komsomolsk-on-Amur Air Enterprise,,KNM,Russia
Koob-Corp - 96 KFT,,KOB,Hungary
Korean Air,KE,KAL,Republic of Korea
Kosmas Air,,KMG,Serbia
Kosmos,,KSM,Russia
Kosova Airlines,,KOS,Serbia
Kovar Air,,WOK,Czech Republic
Krasnojarsky Airlines,7B,KJC,Russia
Kremenchuk Flight College,,KFC,Ukraine
Krimaviamontag,,KRG,Ukraine
Kroonk Air Agency,,KRO,Ukraine
Krylo Airlines,K9,KRI,Russia
Krym,,KYM,Ukraine
Krystel Air Charter,,OPC,United Kingdom
Kuban Airlines,GW,KIL,Russia
Kunpeng Airlines,VD,KPA,China
Kurzemes Avio,,KZA,Russia
Kustbevakningen,,KBV,Sweden
Kuwait Airways,KU,KAC,Kuwait
Kuzu Airlines Cargo,GO,KZU,Turkey
Kvadro Aero,,QVR,Kyrgyzstan
Kwena Air,,KWN,South Africa
Kyrgyz Airlines,N5,KGZ,Kyrgyzstan
Kyrgyz Trans Avia,,KTC,Kyrgyzstan
Kyrgyzstan,QH,LYN,Kyrgyzstan
Kyrgyzstan Airlines,R8,KGA,Kyrgyzstan
Kyrgyzstan Department of Aviation,,DAM,Kyrgyzstan
Kyrgz General Aviation,,KGB,Kyrgyzstan
Kibris T,KY,KYV,Turkey
L A Helicopter,,LAH,United States
L J Aviation,,LJY,United States
L R Airlines,,LRB,Czech Republic
L&L Flygbildteknik,,PHO,Sweden
L'Express,,LEX,United States
L-3 Communications Flight Internation Aviation,,FNT,United States
L.A.B. Flying Service,JF,LAB,United States
LACSA,LR,LRC,Costa Rica
LADE - Lineas Aereas Del Estado,,LDE,Argentina
LAI - Linea Aerea IAACA,KG,BNX,Venezuela
LAN Airlines,LA,LAN,Chile
Aero 2000,4M,DSM,Argentina
LAN Cargo,,LCO,Chile
LAN Dominica,,LNC,Dominican Republic
LAN Express,LU,LXP,Chile
LAN Peru,LP,LPE,Peru
LANSA,,LSA,Dominican Republic
LAP Colombia - Lineas Aereas Petroleras,,APT,LAP
LASTP,,OTN,S
LC Busre,,LCB,Peru
LOT Polish Airlines,LO,LOT,Poland
LTE International Airways,XO,LTE,Spain
LTU Austria,L3,LTO,Austria
LTU International,LT,LTU,Germany
LTV Jet Fleet Corporation,,JFC,United States
LUKoil-Avia,,LUK,Russia
La Ronge Aviation Services,,ASK,Canada
La Valenciana Taxi Aereo,,LVT,Mexico
Labcorp,,SKQ,United States
Labrador Airways,,LAL,Canada
Lagun Air,N6,JEV,Spain
Lake Havasu Air Service,,HCA,United States
Lakeland Aviation,,LKL,United States
Laker Airways,,LKR,United States
Laker Airways (Bahamas),,LBH,United States
Lamra,,LMR,Sudan
Lanaes Aereas Trans Costa Rica,,TCR,Costa Rica
Landsflug,,ISL,Iceland
Langtry Flying Group,,PAP,United Kingdom
Lankair,IK,LKN,Sri Lanka
Lanza Air,,LZA,Spain
Lanzarote Aerocargo,,LZT,Spain
Lao Air Company,,LLL,Lao Peoples Democratic Republic
Lao Airlines,QV,LAO,Lao Peoples Democratic Republic
Lao Capricorn Air,,LKA,Lao Peoples Democratic Republic
Laoag International Airlines,L7,LPN,Philippines
Laredo Air,,LRD,United States
LatCharter,,LTC,Latvia
Latvian Air Force,,LAF,Latvia
Lauda Air,NG,LDA,Austria
Lauda Air Italy,,LDI,Italy
Laughlin Express,,LEP,United States
Laus,,LSU,Croatia
Lawrence Aviation,,LAR,United States
Layang-Layang Aerospace,,LAY,Malaysia
Lease-a-Plane International,,LPL,United States
Lebanese Air Transport,LQ,LAQ,Lebanon
Lebanese Air Transport (Charter),,LAT,Lebanon
Lebanon Airport Development Corporation,,LAD,United States
Lebap,,LEB,Turkmenistan
Leconte Airlines,,LCA,United States
Leeward Islands Air Transport,LI,LIA,Antigua and Barbuda
Legend Airlines,,LGD,United States
Leisure Air,,LWD,United States
Lentini Aviation,,LEN,United States
Leo-Air,,LOR,South Africa
Leonsa De Aviacion,,LEL,Spain
Libyan Airlines,,LYW,Libya
Libyan Arab Airlines,LN,LAA,Libya
Libyan Arab Air Cargo,,LCR,Libya
Lid Air,,LIQ,Sweden
Lignes Aeriennes Congolaises,,LCG,Democratic Republic of the Congo
Lignes Aeriennes Du Tchad,,LKD,Chad
Lignes Mauritaniennes Air Express,,LME,Mauritania
Lignes Nationales Aeriennes - Linacongo,,GCB,Republic of the Congo
Lincoln Air National Guard,,GDQ,United States
Lincoln Airlines,,LRT,Australia
Lindsay Aviation,,LSY,United States
Linea Aerea Costa Norte,,NOT,Chile
Linea Aerea Mexicana de Carga,,LMC,Mexico
Linea Aerea SAPSA,L7,LNP,Chile
Linea Aerea de Fumig Aguas Negras,,NEG,Chile
Linea Aerea de Servicio Ejecutivo Regional,8z,LER,Venezuela
Linea De Aeroservicios,,LSE,Chile
Linea Turistica Aerotuy,LD,TUY,Venezuela
Lineas Aereas Alaire S.L.,,ALR,Spain
Lineas Aereas Azteca,ZE,LCD,Mexico
Lineas Aereas Canedo LAC,,LCN,Bolivia
Lineas Aereas Comerciales,,LCM,Mexico
Lineas Aereas Ejectuivas De Durango,,EDD,Mexico
Lineas Aereas Eldorado,,EDR,Colombia
Lineas Aereas Federales,,FED,Argentina
Lineas Aereas Monarca,,LMN,Mexico
Lineas Aereas San Jose,,LIJ,Mexico
Lineas Aereas del Humaya,,UMA,Mexico
Linex,,LEC,Central African Republic
Linhas Aereas Santomenses,,SMS,S
Linhas A,LM,LAM,Mozambique
Link Airways of Australia,,LAW,Australia
Lion Air Services,,WGT,United Kingdom
Lion Mentari Airlines,JT,LNI,Indonesia
Lions-Air,,LEU,Switzerland
Lithuanian Air Force,,LYF,Lithuania
Little Red Air Service,,LRA,Canada
Livingston,LM,LVG,Italy
Lloyd Aereo Boliviano,LB,LLB,Bolivia
Lnair Air Services,,LNA,Spain
Lockheed Air Terminal,,XLG,United States
Lockeed Aircraft Corporation,,LAC,United States
Lockheed DUATS,,XDD,United States
Lockheed Martin Aeronautics,,CBD,United States
Lockheed Martin Aeronautics Company,,LNG,United States
Logan Air,,LOG,United Kingdom
Lom Praha Flying School,,CLV,Czech Republic
Lomas Helicopters,,LMS,United Kingdom
London City Airport Jet Centre,,LCY,United Kingdom
London Executive Aviation,,LNX,United Kingdom
London Flight Centre (Stansted),,LOV,United Kingdom
London Helicopter Centres,,LHC,United Kingdom
Lone Star Airlines,,LSS,United States
Long Island Airlines,,ORA,United States
Longtail Aviation,,LGT,Bermuda
Lorraine Aviation,,LRR,France
Los Cedros Aviacion,,LSC,Chile
Lotus Air,,TAS,Egypt
Luchtvaartmaatschappij Twente,,LTW,Netherlands
Lucky Air,,LKE,China
Luft Carago,,LUT,South Africa
Luftfahrt-Vermietungs-Dienst,,LVD,Austria
Luftfahrtgesellschaft Walter,HE,LGW,Germany
Lufthansa,LH,DLH,Germany
Lufthansa Cargo,LH,GEC,Germany
Lufthansa CityLine,CL,CLH,Germany
Lufthansa Systems,L1,,Germany
Lufthansa Technik,,LHT,Germany
Lufttaxi Fluggesellschaft,DV,LTF,Germany
Lufttransport,L5,LTR,Norway
Luhansk,,LHS,Ukraine
Lund University School of Aviation,,UNY,Sweden
Luxair,LG,LGL,Luxembourg
Luxaviation,,LXA,Luxembourg
Luxembourg Air Rescue,,LUV,Luxembourg
Luxflight Executive,,LFE,Luxembourg
Luxor Air,,LXO,Egypt
Luzair,,LUZ,Portugal
Lviv Airlines,5V,UKW,Ukraine
Lydd Air,,LYD,United Kingdom
Lynch Flying Service,,LCH,United States
Lynden Air Cargo,L2,LYC,United States
Lynx Air International,,LXF,United States
Lynx Aviation,,LYX,Pakistan
L,MJ,LPR,Argentina
L,,LAU,Colombia
M & N Aviation,,JNH,United States
MAC Fotografica,,MCF,Spain
MANAG'AIR,,MRG,France
MAP-Management and Planung,,MPJ,Austria
MAS Airways,,TFG,United Kingdom
MasAir,M7,MAA,Mexico
MAT Macedonian Airlines,IN,MAK,Macedonia
MCC Aviation,,MCC,South Africa
MG Aviacion,,MGA,Spain
MIA Airlines,,JLA,Romania
MIAT Mongolian Airlines,OM,MGL,Mongolia
MIT Airlines,,MNC,Canada
MK Airline,,MKA,Ghana
MNG Airlines,MB,MNB,Turkey
MSR Flug-Charter,,EBF,Germany
MTC Aviacion,,MCV,Mexico
Mac Aviation,,MAQ,Spain
Mac Dan Aviation Corporation,,MCN,United States
MacKnight Airlines,,MTD,Australia
Macair Airlines,CC,MCK,Australia
Macedonian Airlines,,MCS,Greece
Madina Air,,MDH,Libya
Maersk,DM,,Denmark
Magic Blue Airlines,,MJB,Netherlands
Magna Air,,MGR,Austria
Mahalo Air,,MLH,United States
Mahan Air,W5,IRM,Iran
Mahfooz Aviation,M2,MZS,Gambia
Maine Aviation,,MAT,United States
Majestic Airlines,,MAJ,United States
Mak Air,,AKM,Kazakhstan
Malagasy Airlines,,MLG,Madagascar
Malawi Express,,MLX,Malawi
Malaya Aviatsia Dona,,MKK,Russia
Malaysia Airlines,MH,MAS,Malaysia
Mali Air,,MAE,Austria
Mali Air Express,,VXP,Mali
Mali Airways,,MTZ,Mali
Malila Airlift,,MLC,Democratic Republic of the Congo
Mall Airways,,MLS,United States
Malmo Aviation,,SCW,Sweden
Malmoe Air Taxi,,LOD,Sweden
Malmö Aviation,TF,SCW,Sweden
Malta Air Charter,R5,MAC,Malta
Malta Wings,,MWS,Malta
Malév,MA,MAH,Hungary
Manaf International Airways,,MLB,Burundi
Mandala Airlines,RI,MDL,Indonesia
Mandarin Airlines,AE,MDA,Taiwan
Mango,JE,MNO,South Africa
Manhattan Air,,MHN,United Kingdom
Manitoulin Air Services,,MTO,Canada
Mann Air,,MNR,United Kingdom
Mannion Air Charter,,MAN,United States
Mantrust Asahi Airways,,MTS,Indonesia
Manx Airlines,,MNX,United Kingdom
Maple Air Services,,MAD,Canada
March Helicopters,,MAR,United Kingdom
Marcopolo Airways,,MCP,Afghanistan
Marghi Air,,MGI,Nigeria
Markair,,MRK,United States
Markoss Aviation,,MKO,United Kingdom
Mars RK,6V,MRW,Ukraine
Marshall Aerospace,,MCE,United Kingdom
Marsland Aviation,M7,MSL,Sudan
Martin Aviation Services,,XMA,United States
Martin-Baker,,MBE,United Kingdom
Martinair,MP,MPH,Netherlands
Martinaire,,MRA,United States
Martyn Fiddler Associates,,MFA,United Kingdom
Marvin Limited,,MVN,United Kingdom
Maryland State Police,,TRP,United States
Massachusetts Institute of Technology,,MTH,United States
Massey University School of Aviation,,MSY,New Zealand
Master Airways,,MSW,Serbia
Master Planner,,MPL,United States
Masterjet,,LMJ,Portugal
Mastertop Linhas Aereas,Q4,,Brazil
Mauria,,MIA,Mauritania
Mauritanienne Aerienne Et Navale,,MNV,Mauritania
Mauritanienne Air Fret,,MRF,Mauritania
Mauritanienne Airways,,MWY,Mauritania
Mauritanienne De Transport Aerien,,MDE,Mauritania
Maverick Airways,,MVR,United States
Mavial Magadan Airlines,H5,MVL,Russia
Max Avia,,MAI,Kyrgyzstan
Max Sea Food,,MSF,El Salvador
Max-Aviation,,MAX,Canada
Maxair,8M,MXL,Sweden
Maximus Air Cargo,,MXU,United Arab Emirates
Maxjet Airways,MY,MXJ,United States
Maxsus-Avia,,MXS,Uzbekistan
May Air Xpress,,MXP,United States
Maya Island Air,MW,MYD,Belize
Mayair,,MYI,Mexico
Mbach Air,,MBS,Malawi
McAlpine Helicopters,,MCH,United Kingdom
McCall Aviation,,MKL,United States
McDonnell Douglas,,DAC,United States
McNeely Charter Services,,MDS,United States
Med-Trans of Florida,,MEK,United States
Medavia Company,,MDM,Malta
Medical Air Rescue Services,,MRZ,Zimbabwe
Medical Aviation Services,,MCL,United Kingdom
Mediterranean Air Freight,,MDF,Greece
Mediterranean Airways,,MDY,Egypt
Medjet International,,MEJ,United States
Mega,,MGK,Kazakhstan
Mega Linhas Aereas,,MEL,Brazil
Mekong Airlines,,MKN,Cambodia
Menajet,IM,MNJ,Lebanon
Merchant Express Aviation,,MXX,Nigeria
Mercury Aircourier Service,,MEC,United States
Meridian,,POV,Ukraine
Meridian Air Cargo,,MRD,United States
Meridian Airlines,,MHL,Nigeria
Meridian Aviation,,DSL,United Kingdom
Meridian Limited,,MEM,Ukraine
Meridiana,IG,ISS,Italy
Merlin Airways,,MEI,United States
Merpati Nusantara Airlines,MZ,MNA,Indonesia
Mesa Airlines,YV,ASH,United States
Mesaba Airlines,XJ,MES,United States
Meta Linhas A,,MSQ,Brazil
Meteorological Research Flight,,MET,United Kingdom
Methow Aviation,,MER,United States
Metro Business Aviation,,MVI,United Kingdom
Metro Express,,MEX,United States
Metroflight,,MTR,United States
Metrojet,,MTJ,Hong Kong SAR of China
Metropix UK,,PIX,United Kingdom
Metroplis,,MPS,Netherlands
Mex Blue,,MXB,Mexico
Mex-Jet,,MJT,Mexico
Mexicana de Aviaci,MX,MXA,Mexico
Mexico Transportes Aereos,,MXT,Mexico
Miami Air Charter,,HUR,United States
Miami Air International,GL,BSK,United States
Miami Valley Aviation,,OWL,United States
Miapet-Avia,,MPT,Armenia
Michelin Air Services,,BIB,France
Micromatter Technology Solutions,,WIZ,United Kingdom
Mid Airlines,,NYL,Sudan
Mid-Pacific Airlines,,MPA,United States
Midamerica Jet,,MJR,United States
Middle East Airlines,ME,MEA,Lebanon
Midland Airport Services,,MID,United Kingdom
Midline Air Freight,,MFR,United States
Midstate Airlines,,MIS,United States
Midway Airlines,JI,MDW,United States
Midway Express,,FLA,United States
Midwest Air Freighters,,FAX,United States
Midwest Airlines,YX,MEP,United States
Midwest Airlines (Egypt),MY,MWA,Egypt
Midwest Aviation,,NIT,United States
Midwest Aviation Division,,MWT,United States
Midwest Helicopters De Mexico,,HTE,Mexico
Millardair,,MAB,Canada
Millen Corporation,,RJM,United Kingdom
Millennium Air,,MLK,Nigeria
Miller Flying Services,,MFS,United States
Million Air,,OXO,United States
Mimino,,MIM,Russia
Mina Airline Company,,NAB,Egypt
Minair,,OMR,Central African Republic
Minebea Technologies,,EBE,United States
Mines Air Services Zambia,,MAZ,Zambia
Miniliner,,MNL,Italy
Ministic Air,,MNS,Canada
Ministry of Agriculture,,WDG,WATCHDOG
Minsk Aircraft Overhaul Plant,,LIR,Belarus
Miramichi Air Service,,MIR,Canada
Miras,,MIF,Kazakhstan
Misr Overseas Airways,,MOS,Egypt
Mission Aviation Fellowship,,MAF,Indonesia
Missionair,,MSN,Spain
Missions Gouvernemtales Francaises,,MRN,France
Mississippi State University,,BDG,United States
Mississippi Valley Airways,,MVA,United States
Mistral Air,,MSA,Italy
Mobil Oil,,MBO,Canada
Mocambique Expresso,,MXE,Mozambique
Mofaz Air,,MFZ,Malaysia
Moldaeroservice,,MLE,Moldova
Moldavian Airlines,2M,MDV,Moldova
Moldova,,MVG,Moldova
Mombasa Air Safari,,RRV,Kenya
Monarch Airlines,ZB,MON,United Kingdom
Monarch Airlines,,MNH,United States
Myway Airlines,8I,,Italy
Moncton Flying Club,,MFC,Canada
Monde Air Charters,,MDB,United Kingdom
Monerrey Air Taxi,,MTI,Mexico
Monky Aerotaxis,,MKY,Mexico
Montenegro Airlines,YM,MGX,Montenegro
Montserrat Airways,,MNT,Montserrat
Mooney Aircraft Corporation,,MNY,United States
Morningstar Air Express,,MAL,Canada
Morris Air Service,,MSS,United States
Morrison Flying Service,,MRO,United States
Moskovia Airlines,3R,GAI,Russia
Mosphil Aero,,MPI,Philippines
Motor Sich,M9,MSI,Ukraine
Mount Cook Airlines,NM,NZM,New Zealand
Mountain Air Cargo,,MTN,United States
Mountain Air Company,N4,MTC,Sierra Leone
Mountain Air Express,,PKP,United States
Mountain Air Service,,BRR,United States
Mountain Bird,,MBI,United States
Mountain High Aviation,,MHA,United States
Mountain Pacific Air,,MPC,Canada
Mountain Valley Air Service,,MTV,United States
Mowhawk Airlines,,MOW,United States
Mudan Airlines,,MDN,Somali Republic
Mudanjiang General Aviation,,CMJ,China
Multi Taxi,,MTX,Mexico
Multi-Aero,,WBR,United States
Multiflight,,MFT,
Murmansk Aircompany,,MNZ,Russia
Murray Air,,MUA,United States
Musrata Air Transport,,MMR,Libya
Mustique Airways,,MAW,Barbados
My Way Airlines,,MYW,Italy
MyTravel Airways,VZ,MYT,United Kingdom
Myanma Airways,UB,UBA,Myanmar
Myanmar Airways International,8M,MMM,Myanmar
Myflug,,MYA,Iceland
Mytravel Airways,,VKG,Denmark
NEL Cargo,,NLG,Ivory Coast
NHT Lineas Aereas,,NHG,Brazil
NZ Warbirds Association,,WAR,New Zealand
Nacoia Lda,,ANL,Angola
Nada Air Service,,NHZ,Chad
Compangnie Nationale Naganagani,,BFN,Burkina Faso
Nahanni Air Services Ltd,,NAH,Canada
Nakheel Aviation,,NKL,United Arab Emirates
Namibia Commerical Aviation,,MRE,Namibia
Namibian Defence Force,,NDF,Namibia
Nanjing Airlines,,CNJ,China
Nantucket Airlines,DV,ACK,United States
Nanyah Aviation,,NYA,Israel
Napier Air Service Inc,,NAP,United States
Nas Air,,NCM,Angola
Nas Air,P9,,Mali
Nasair,UE,NAS,Eritrea
Nashville Jet Charters,,NJC,United States
Natalco Air Lines,,NCO,S
Natioanl Air Traffic Controllers Association,,NTK,United States
National Air Charter,,NSR,Indonesia
National Air Traffic Services,,RFI,United Kingdom
National Airlines,,NAN,United States
National Airlines,N4,NCN,Chile
National Airlines,N7,ROK,United States
National Airlines,NA,NAL,United States
National Airlines,,KUS,South Africa
National Airways Cameroon,9O,,Cameroon
National Airways Corporation,,LFI,South Africa
National Aviation Company,,GTY,Egypt
National Aviation Consultants,,TNC,Canada
National Express,,NXT,United States
National Grid,,GRD,United Kingdom
National Jet Express,,JTE,Australia
National Jet Service,,AND,United States
National Jet Systems,NC,NJS,Australia
National Oceanic and Atmospheric Administration,,NAA,United States
National Overseas Airlines Company,,NOL,Egypt
Nationale Luchtvaartschool,,NLS,Netherlands
Nations Air Express Inc,,NAE,United States
Nationwide Airlines,CE,NTW,South Africa
Nationwide Airlines (Zambia),,NWZ,Zambia
Natural Environment Research Council,,EVM,United Kingdom
Natureair,,NRR,Costa Rica
Naturelink Charter,,NRK,South Africa
Nauru Air Corporation,ON,RON,Nauru
NAV CANADA,,NVC,Canada
Nav Flight Planning,,NAV,Czech Republic
Navegacao Aerea De Portugal,,NVP,Portugal
Navegacion Servicios Aereos Canarios SA,,NAY,Spain
Navid,,IRI,Iran
Naviera Mexicana,,NVM,Mexico
Navigator Airlines,,NVL,Armenia
Navinc Airlines Services,,XNV,United States
Navitaire,1N,,United States
Navtech System Support,,XNS,Canada
Nayzak Air Transport,,NZA,Libya
State of Nebraska,,NEB,United States
Necon Air,,NEC,Nepal
Nederlandse Kustwacht,,NCG,Netherlands
Nefteyugansk Aviation Division,,NFT,Russia
Neiltown Air,,NLA,Canada
Nelair Charters,,NLC,South Africa
Nelson Aviation College,,CGE,New Zealand
Nepal Airlines,RA,RNA,Nepal
Neos,NO,NOS,Italy
Neosiam Airways,,TOX,Thailand
Neric,,NSL,United Kingdom
NetJets,1I,EJA,United States
Network Aviation Services,,NET,Nigeria
New England Air Express,,NEZ,United States
New England Airlines,EJ,NEA,United States
New Heights 291,,NHT,South Africa
New World Jet Corporation,,NWD,United States
New York Helicopter,,NYH,United States
New York State Police,,GRY,United States
New Zealand Air Defence Force,,KRC,New Zealand
Newair,,HVA,United States
Newfoundland Labrador Air Transport,,NLT,Canada
NextJet,,NTJ,Sweden
Nextflight Aviation,,NXF,United States
Nexus Aviation,,NXS,Nigeria
Nicaraguense De Aviacion,,NIS,Nicaragua
Nicon Airways,,NCN,Nigeria
Nigeria Airways,,NGA,Nigeria
Nigerian Air Force,,NGR,Nigeria
Nigerian Global,,NGX,Nigeria
Night Express,,EXT,Germany
Niki,HG,NLY,Austria
Nikolaev-Air,,NKV,Ukraine
Nile Safaris Aviation,,NSA,Sudan
Nile Valley Aviation Company,,NVA,Egypt
Nile Wings Aviation Services,,NLW,Sudan
Nimbus Aviation,,NBS,United Kingdom
Nippon Cargo Airlines,KZ,NCA,Japan
Nizhnevartovskavia,,NVK,Russia
Search and Rescue 202,,SRG,United Kingdom
Search and Rescue 22,,SRD,United Kingdom
No. 32 (The Royal) Squadron RAF,,NOH,United Kingdom
84 Squadron Royal Air Force @ RAF Akrotiri,,AKG,United Kingdom
Nobil Air,,NBL,Moldova
Nok Air,DD,NOK,Thailand
Nolinor Aviation,,NRL,Canada
Nomad Aviation,,NMD,Namibia
Norcopter,,NOC,Norway
Nord-Flyg,,NEF,Sweden
Nordeste Linhas Aereas Regionais,JH,NES,Brazil
Nordic Regional,6N,NRD,Sweden
Nordic Solutions,,NVD,Lithuania
Nordstree (Australia),,NDS,Australia
Norestair,,NRT,Spain
Norfolk County Flight College,,NCF,United Kingdom
Norontair,,NOA,Canada
Norrlandsflyg,,HMF,Sweden
Norse Air Charter,,NRX,South Africa
Norsk Flyrjeneste,,NIR,Norway
Norsk Helikopter,,NOR,Norway
Norsk Luftambulanse,,DOC,Norway
Nortavia,,RTV,Portugal
North Adria Aviation,,NAI,Croatia
